NO;Nama UMKM;Komoditi, Produk Utama;Sektor Usaha;Alamat;Tahun Berdiri;Tenaga Kerja;Aset;Omzet;Telepon;Pemasaran;Tanggal;Jenis;Kecamatan
;Konveksi Budak Santri;Konveksi, Baju Santri;fashion;Pangauban RT 01 RW 05 Batujajar Timur Batujajar;2010;1;6000000;720000;087822155971;;2017/01/01;3;3
;Konveksi Baju Muslim;Konveksi, Baju Muslim Pria;fashion;Jl.Aster III A.25 Batujajar indah Batujajar Barat Batujajar;2012;0;50000000;6500000;0226864114 / '081572500506;;2017/01/02;3;3
;Mutiara Konveksi;Konveksi;fashion;Jl. Blok SMP Rt 01 Rw 03 Desa Batujajar Barat  Batujajar;2005;1;14400000;8000000;081320607348;;2017/01/03;3;3
;Busana Sulam Halimah;Hijab, Muslimah;fashion;Cikonde RT 01 RW 02 Cikonde Batujajar;2002;1;38000000;7000000;;;2017/01/04;3;3
;Puspa Busana;Butik;fashion;Bojong Haleuang RT 01 RW 01 Bojong Halewang Batujajar;2000;4;12000000;14000000;;;2017/01/05;3;3
;Busana Payet;Payet;fashion;Batujajar Batujajar Batujajar;2006;4;648000;1350000;;;2017/01/06;3;3
;Berdikari;Toko Baju Anak;fashion;Kp. Dungus Purna RT 01/10 Galanggang Batujajar;2011;2;140000000;25000000;022-76113570;;2017/01/07;3;3
;Kelompok Usaha Ekonomi Ngalagena;Toko Baju Dewasa;fashion;Kp.Sekeloa RT 01/RW 10 Cangkorah Batujajar;1985;0;9000000;2000000;081394544666;;2017/01/08;3;3
;Conveksi Nurani Mandiri;Konveksi;fashion;Blok Sinarjaya  Batujajar Barat Batujajar;1995;1;144000000;15000000;;;2017/01/09;3;3
;Shafira Colection;Pakaian Wanita;fashion;Jl.Raya Batujajar<Babakan Sari> Batujajar Timur Batujajar;1985;2;280000000;700000;;;2017/01/10;3;3
;Zanita Shwall;Pakaian Wanita;fashion;Puspa Regency B.60 Batujajar Batujajar;2003;4;36000000;700000;;;2017/01/11;3;3
;Konveksi  Hanania;Konveksi;fashion;Blok Sukamaju Rt.03/Rw.13 Batujajar Barat Batujajar;1987;2;40000000;5000000;087 823 131 596;;2017/01/12;3;3
;Khanzalifa;Penjahit;fashion;Jl. Raya Batujajar 294 Galanggang Batujajar;1985;3;112000000;3000000;085794413439;;2017/01/13;3;3
;menjahit;Penjahit;fashion;kp.cibeber hilir rt 03/02 giri asih Batujajar;2015;1;17500000;2000000;081321869640;;2017/01/14;3;3
;jahit;Penjahit;fashion;kp.cibeber hilir rt 01/02  giri asih  Batujajar;2010;1;36000000;10000000;08978676299;;2017/01/15;3;3
;fashion HM ;Toko Baju Pria Wanita;fashion;kp. Cibeber hilir RT. 02/02  giri asih  Batujajar;2007;4;36000000;15000000;082317461564;;2017/01/16;3;3
;jahit bikin baju;Konveksi, Menjahit;fashion;kp.cibeber hilir rt 03/02 giri asih Batujajar;2001;1;8100000;2000000;081214811936;;2017/01/17;3;3
;Asep Taylor;Menjahit;fashion;kp.cimanglio rt 02/04  cangkorah Batujajar;2015;2;6000000;15000000;082315063370;;2017/01/18;3;3
;menjahit ;Menjahit;fashion;kp.babakan baru rt 03/12 pangauban  Batujajar;2014;0;20000000;60000000;;;2017/01/19;3;3
;penjahit ;Menjahit;fashion;kp. Dungguspurna rt 01/08    galangan  Batujajar;2012;0;50000000;5000000;085321730177;;2017/01/20;3;3
;konveksi;Konveksi;fashion;kp.salacau rt 02 / 05 selacau  Batujajar;2008;3;50000000;5000000;089617634022;;2017/01/21;3;3
;dagang keliling ;Dagang Baju Keliling;fashion;kp.selacau rt 02/ 05  selacau  Batujajar;2007;2;6000000;12000000;089617634022;;2017/01/22;3;3
;kompeksi ;Konveksi;fashion;kp.cibogo rt 04/12 pangauban  Batujajar;1989;2;8000000;15000000;;;2017/01/23;3;3
;b.k.j;Konveksi,  Produsen Jaket;fashion;kp.sesekendal rt 01/07 cangkorah  Batujajar;2005;3;60000000;30000000;0853203227699;;2017/01/24;3;3
;konfeksi ;Konveksi;fashion;kp. Cibogo rt. 04/12 pangauban Batujajar;2016;2;37000000;2000000;;;2017/01/25;3;3
;berdikan (kompeksi);Konveksi;fashion;kp. Cimanglio rt. 02/15  cangkorah  Batujajar;2015;3;15000000;2500000;;;2017/01/26;3;3
;menjahit ;Penjahit;fashion;kp.sampih manggu rt 02/11 cangkorah  Batujajar;2013;2;13000000;2000000;082310279278;;2017/01/27;3;3
;konfeksi ;Konveksi;fashion;kp.sampihmanggu rt 03/11 cangkorah  Batujajar;2011;4;15000000;1000000;081321079342;;2017/01/28;3;3
;konveksi (jaket);Konveksi Jaket;fashion;kp sampih manggu rt 02/11 cangkorah  Batujajar;2008;0;50000000;2000000;085795260756;;2017/01/29;3;3
;menjahit ;Penjahit;fashion;kp. Sampih manggu rt, 02/11 cangkorah  Batujajar;2007;1;32000000;10000000;;;2017/01/30;3;3
;konveksi;Konveksi;fashion;kp. Sampih manggu rt. 03/11 cangkorah  Batujajar;2008;2;30000000;14000000;085795223650;;2017/01/31;3;3
;jahit / pria wanita;Toko Jaket;fashion;kp.jl hegar manah 11 Galanggang  Batujajar;2012;1;40000000;16000000;089671056671;;2017/02/01;3;3
;kelompok usaha hijab ;Produsen hijab;fashion;pondok dustira rt. 04/09  Gadobangkong  Batujajar;2013;1;20000000;15500000;;;2017/02/02;3;3
;darma sejahtera ;Toko Baju;fashion;jl. Raya gadobangkong no.15 rt.02/03 Gadobangkong  Batujajar;2008;4;32500000;18000000;;;2017/02/03;3;3
;Kelompok Usaha Mitra Mandiri;Konveksi;fashion;Kp. Sinarmukti Selacau Selacau Batujajar;2012;2;16000000;3000000;;;2017/02/04;3;3
;Konveksi ;Pakaian;fashion;Kp. Sciceuri   No. 44 RT. 01 RW. 02 Cangkorah Batujajar;2008;1;12500000;2000000;;;2017/02/05;3;3
;Mitra Saluyu;Konfeksi;fashion;Kp. Seketando RT. 02 RW. 03 Cangkorah Batujajar;2016;3;90000000;10000000;;;2017/02/06;3;3
;Home Industri [Konveksi];Pakaian;fashion;Kp. Seketando RT. 02 RW. 04 Batujajar Timur Batujajar;2012;1;180000000;15000000;;;2017/02/07;3;3
;Kelompok Usaha Bersama Citar Mandiri;Pakaian Jadi;fashion;Jl. Raya Batujajar  Selacau Batujajar;2017;0;20000000;2000000;;;2017/02/08;3;3
;Kelompok Usaha Konveksi AL-HARITS;Konveksi;fashion;Jl.Pasirpaku RT 02/07 Desa  Giriasih Batujajar;2008;0;30000000;15000000;;;2017/02/09;3;3
;Rizki Collection;Konveksi;fashion;Blok Pesantren RT 01/07 Desa  Batujajar Barat  Batujajar;2012;2;6000000;60000000;;;2017/02/10;3;3
;Konpeksi;Toko Baju;fashion;P.Kp.BBK Pari Rt.01/04 Batujajar Timur Batujajar;2010;1;36000000;5000000;;;2017/02/11;3;3
;Penjahit Pakaian Kumbang Jaya;Konveksi, Penjahit;fashion;Jl.Raya Kaum Selatan (depan PDAM) Batujajar Barat Batujajar;2005;2;10000000;5000000;;;2017/02/12;3;3
;Kel. Bina Sejahtera;Konveksi Jas Hujan;fashion;P:Kp.Cihurip Rt.03/12  Pangauban Batujajar;2008;2;20000000;12000000;;;2017/02/13;3;3
;Kel. Dian Collection;Jahit;fashion;jl. Raya gadobangkong no.15 rt.02/14 Gadobangkong  Batujajar;2009;1;50000000;15000000;;;2017/02/14;3;3
;Pengrajin;Anyaman Bambu;kerajinan;Kp. Warungpulus Gelanggang Batujajar;2010;0;32500000;5000000;;;2017/02/15;3;3
;Dona Sepatu Lukis;Sepatu Lukis;kerajinan;Kp. Warung pulus No 53 Rt 03/13 Batujajar Barat Batujajar;2015;0;16000000;3000000;081573245507;;2017/02/16;3;3
;Pengrajin;Rajutan;kerajinan;Kp. Warungpulus No. 13 RT 02 RW. 09 Galanggang Batujajar;2002;1;12500000;2000000;;;2017/02/17;3;3
;Bejo Citra Mandiri;Anyaman Bambu;kerajinan;Blok Panca Tengah RT 05/03  SMPN 1 Batujajar  Batujajar Barat Batujajar;2006;3;90000000;10000000;081221711850;;2017/02/18;3;3
;Rajut Barokah;Kain Rib;kerajinan;Blok.Ranca RT 01 RW 02 Batujajar Barat Batujajar;2017;0;180000000;15000000;02270028438;;2017/02/19;3;3
;Daur ulang plastik;Daur ulang plastik;KERAJINAN;Kp. Sciceuri   No. 44 RT. 01 RW. 02 Cangkorah Batujajar;2005;3;20000000;2000000;;;2017/02/20;3;3
;Elis;Sepatu;kerajinan;Blok Pancatengah 03/04 Jl.SMP Desa  Batujajar Barat Batujajar;2012;3;30000000;15000000;081394339590;;2017/02/21;3;3
;Cindeart;Kerajinan Limbah Pohon pisang;kerajinan;Jl. SMP Blok Panca Tengah Rt 03 Rw 05 Batujajar Barat Batujajar;2006;3;6000000;60000000;02295766718;;2017/02/22;3;3
;Penrajin;Sepatu;kerajinan;Kp. Seketando  RT. 01 RW. 13 Cangkorah Batujajar;2011;2;36000000;5000000;;;2017/02/23;3;3
;Pengrajin;Pengrajin sepatu;kerajinan; Girimukti Batujajar;2003;1;10000000;5000000;;;2017/02/24;3;3
