NO;Nama UMKM;Komoditi, Produk Utama;Sektor Usaha;Alamat;Tahun Berdiri;Tenaga Kerja;Aset;Omzet;Telepon;Pemasaran;Tanggal;Jenis;Kecamatan
;CV.LUNGSIN LESTARI;Industri Sabun;Kerajinan;P.Jl.Ds.Cimerang Rt.01/05 Cimerang Padalarang;2015;8;510000;560000;082141241;Lokal;2019/01/01;2;1
;SINAR SAHABAT PLASTIK;Kemasan dari plastik                                           100 Ton;Kerajinan;P : Kp. Cibacang RT.04/04   Cimerang Padalarang;2011;3;510000;512000;;Bandung;2019/01/02;2;1
;Sinar Bintang  ;Industri Barang dari Plastik Kantong Plastik,Biji Plastik (22220);Kerajinan;P:Kp Ciampel Jl.Cibingbin  Laksanamekar Padalarang;2010;15;510000;550000;;Bandung;2019/01/03;2;1
;TRILAN L ;Barang Dari logam                           120 Unit;Kerajinan;P : Jl. Raya Padalarang No.422  Ciburuy Padalarang;2018;21;510000;580000;;Lokal;2019/01/04;2;1
;PK GUNUNG KAWI;Industri Kapur , Kapak Tohor                         120 ton;Kerajinan;P : Jl Raya Pamuncatan No 907 Padalarang Padalarang;2011;18;510000;540000;;lokal;2019/01/05;2;1
;PT.HYMUS ISOKAVE;Bahan Kimia dan Barang Kimia Lainnya;Kerajinan;P: Kp Sudimampir RT 03/13  Cempaka Mekar Padalarang;2007;6;510000;580000;;Lokal;2019/01/06;2;1
;TUNAS          ;Industri Kapur Kapur Tembok,Tohor(23942);Kerajinan;P.Kp Pamucatan  Ciburuy Padalarang;2010;6;450000;650000;;Bandung;2019/01/07;2;1
;PT SUNLI DAMAI ABADI;Ind. Barang2 Plasti, Karung dari Plastik;Kerajinan;P: Komp. Tipar Barat No.38 RT.05/02 Laksanamekar Padalarang;2011;16;460000;50000;;Lokal;2019/01/08;2;1
;QADAR MUKTI;Kapur                     500 ton;Kerajinan;P : Kp.Pojok  Campaka mekar Padalarang;2013;10;400000;600000;;Lokal;2019/01/09;2;1
;PT.GRYMIX INDONESIA    ;Industri Barang dari Semen dan Kapur Untuk Kontruksi (23953);Kerajinan;P:Kp Pamucatan Rt.01/19 Ds/Kec Padalarang  Padalarang;2008;10;525000;550000;;Bandung;2019/01/10;2;1
;PT SANDYCA SURYA;Furniture dari rotan                                     10.000 unit;Kerajinan;P : Jl. Industri Cimareme IV No. 5 Cimareme Padalarang;2009;25;510000;650000;;Lokal;2019/01/11;2;1
